WKT,name,description
"LINESTRING (37.753733 49.749806 0.0, 37.712653 49.731296 0.0, 37.73865 49.733139 0.0, 37.712653 49.731296 0.0, 37.722219 49.745689 0.0)",Russian Attack,
"LINESTRING (37.753627 49.689615 0.0, 37.712093 49.708042 0.0, 37.724803 49.692468 0.0, 37.712093 49.708042 0.0, 37.738283 49.706958 0.0)",Russian Attack,
"LINESTRING (38.31016 48.7865785, 38.2693796 48.8050065, 38.2793604 48.7928866, 38.2693796 48.8050065, 38.2898506 48.8039839)",Russian Attack,
"LINESTRING (38.2042393 48.7787769, 38.1634645 48.7972049, 38.1731952 48.7852497, 38.1634645 48.7972049, 38.1836838 48.796347)",Russian Attack,
"LINESTRING (38.1397448 48.6794347, 38.0990513 48.6978627, 38.108934 48.6859074, 38.0990513 48.6978627, 38.1194018 48.6970047)",Russian Attack,
"LINESTRING (38.1463149 48.6609403, 38.1000039 48.6555833, 38.1135956 48.66348, 38.1000039 48.6555833, 38.1171905 48.6509565)",Russian Attack,
"LINESTRING (38.0162248 48.4561921, 37.9701009 48.450835, 37.9836377 48.4587317, 37.9701009 48.450835, 37.9873031 48.4465398)",Russian Attack,
"LINESTRING (38.08604 48.621972, 38.040628 48.604136, 38.0490082 48.6152948, 38.040628 48.604136, 38.0600266 48.604096)",Russian Attack,
"LINESTRING (38.1027831 48.5602304, 38.0857297 48.5337827, 38.0827244 48.5458881, 38.0857297 48.5337827, 38.100901 48.5406894)",Russian Attack,
"LINESTRING (38.077629 48.481865 0.0, 38.074229 48.518366 0.0, 38.065542 48.504748 0.0, 38.074229 48.518366 0.0, 38.086475 48.505694 0.0)",Russian Attack,
"LINESTRING (38.0742 48.48949 0.0, 38.023411 48.499383 0.0, 38.040312 48.488353 0.0, 38.023411 48.499383 0.0, 38.045803 48.502737 0.0)",Russian Attack,
"LINESTRING (38.0694718 48.4613829, 38.0187105 48.4712759, 38.0356026 48.4602459, 38.0187105 48.4712759, 38.0410903 48.4746289)",Russian Attack,
"LINESTRING (38.0210333 48.3751568, 37.9732653 48.3948348, 37.9855055 48.3811878, 37.9732653 48.3948348, 37.996121 48.3943208)",Russian Attack,
"LINESTRING (37.83738 48.181241 0.0, 37.791504 48.175884 0.0, 37.807896 48.185454 0.0, 37.791504 48.175884 0.0, 37.812016 48.170738 0.0)",Russian Attack,
"LINESTRING (37.704814 48.04682 0.0, 37.657351 48.066498 0.0, 37.669512 48.052851 0.0, 37.657351 48.066498 0.0, 37.68006 48.065984 0.0)",Russian Attack,
"LINESTRING (37.51801 47.931881 0.0, 37.473207 47.914045 0.0, 37.483084 47.927359 0.0, 37.473207 47.914045 0.0, 37.495648 47.914004 0.0)",Russian Attack,
"LINESTRING (37.561076 47.830646 0.0, 37.513811 47.850323 0.0, 37.525922 47.836676 0.0, 37.513811 47.850323 0.0, 37.536471 47.849688 0.0)",Russian Attack,
"LINESTRING (37.2733049 47.7244689, 37.2463968 47.7508429, 37.2484363 47.7350959, 37.2463968 47.7508429, 37.2676774 47.7444939)",Russian Attack,
"LINESTRING (37.9506471 48.3441343, 37.9029083 48.3638123, 37.915141 48.3501653, 37.9029083 48.3638123, 37.92575 48.3632983)",Russian Attack,
"LINESTRING (33.1836682 47.0711557, 33.1238598 47.0956272, 33.135798 47.0819801, 33.1238598 47.0956272, 33.1461519 47.095113)",Russian Attack,
"LINESTRING (36.386632 46.7338191, 36.4552965 46.7465243, 36.5857592 46.790734, 36.5445605 46.7493473, 36.5857592 46.790734, 36.5140047 46.7933196, 36.5857592 46.790734)",Russian Move s-300 systems,
"LINESTRING (37.771784 49.268142 0.0, 37.818332 49.299425 0.0, 37.812696 49.284317 0.0, 37.818332 49.299425 0.0, 37.79498 49.295966 0.0)",Ukrainian Advance,
"LINESTRING (37.661166 49.294092 0.0, 37.665388 49.331731 0.0, 37.651848 49.319022 0.0, 37.665388 49.331731 0.0, 37.675043 49.318035 0.0)",Ukrainian Attack,
"LINESTRING (37.721084 48.967106 0.0, 37.75567 48.990274 0.0, 37.75007 48.975165 0.0, 37.75567 48.990274 0.0, 37.732464 48.986814 0.0)",Ukrainian Advance,
"LINESTRING (37.705182 49.016041 0.0, 37.756485 49.006153 0.0, 37.739422 49.017148 0.0, 37.756485 49.006153 0.0, 37.733875 49.002764 0.0)",Ukrainian Attack,
"LINESTRING (37.6549894 49.1173887, 37.7232135 49.1045806, 37.7061155 49.1155756, 37.7232135 49.1045806, 37.7005577 49.1011916)",Ukrainian Attack,
"LINESTRING (37.6802141 49.0117027, 37.7148303 49.0348707, 37.7092252 49.0197627, 37.7148303 49.0348707, 37.6916032 49.0314107)",Ukrainian Attack,
"LINESTRING (37.6562196 49.0858023, 37.7243994 49.0729933, 37.707313 49.0839883, 37.7243994 49.0729933, 37.7017591 49.0696043)",Ukrainian Attack,
